"相对路径","SHA256"
"AGENTS.md","EC1A1DC9B663D9857082FA3B6729E7A827F83C40754A875BE44A3EFB36E8204E"
"Makefile","7F7C4B27F5473F419B77282E2597ECB99BC24403F571C1CA506587FEE2B74215"
"pyproject.toml","4AE3DE462F80C70CAC10EFCB8C59535B7190E9A48BBFE8C1BDA93DAD31F92E83"
"README.md","2D00B8F138648F328923FF199844A4B132AE7429DD04B7F91AC54B1F8A78AA3C"
"sitecustomize.py","A5C2561AD31D1CBDDB7EDAB179EC1B15AFDF838F65B603876BA3DED4BFB631E5"
"SPEC.md","93C577055E6381CC4CF030F8B34C8B29F0D43AF1DA869A767FD3CFB97F393E35"
"打包说明.md","ABE1DB2D2A407531AFF51DA32BD63549538990CF55CC73ED7A6F80DB5FDED7BE"
"docs\阶段0_复现规格与中文日志规范.md","47F89B7D26D5C0B46F435AB3F564ACAAD0252F4BFDD0651B738EC0AD1E05CAA6"
"llm4graphgen\__init__.py","62941402374EF311E9F2AB7D1D78BD023C05610EF0D9F05C7747280159A2F227"
"runs\20260214_132438\run.log","59026951E55DBAB43B65108324BE2C8764F5B3051B8239E71CA2DAC0F333C7D1"
"runs\20260214_135133\run.log","DA5AAF0C90F3710A519F10ECDB0C28B0E13F58A0C2A617384FB511120D5FAA16"
"runs\20260214_140406\llm_io.jsonl","6E07422309DE03F887EFBAC50A75D8EE002149A47D984F370AC14DD5CD7B6980"
"runs\20260214_140406\parser_result.json","74543CC2C099AD19BD9A1B98ADBB382B6176CA85E7A2376581C6196C05CB875D"
"runs\20260214_140406\run.log","4363764BA19A773D56362CDF6DF8B2357756022DB36B1EA17B2CAF6951ACA20E"
"runs\20260214_140406_fail\llm_io.jsonl","339934147D3653262E756C7170941EF8424A00F1AA7CC51DDB96EB79AEF689F7"
"runs\20260214_140406_fail\parser_result.json","BBF38B57FDDF43A137A670A31BBC4B050D13FC0163431E8E48CBC91824958253"
"runs\20260214_140406_fail\run.log","1F9DA23D526089CDB30D948394060E4E1921309886D238458CD1A1729DDD00C5"
"runs\20260214_140616\run.log","DF6D89ED34135E8DA02A8C3B23EEED959A99DC610822FD67609EA7516562FCD8"
"runs\20260214_141637\failure_cases.csv","A23465C1E25FFF3ECA757588848130332751697A93F809B09908FF890E443013"
"runs\20260214_141637\llm_io.jsonl","0C955C7622F30941C87B6904CD56C164EB7A489B27B688AA9FE35844BE16BD70"
"runs\20260214_141637\rule_based_metrics.csv","CBF68612E64EDB06A78FA8DE279B01FFA98A3B70EC316F9BF92027A5E9357BD9"
"runs\20260214_141637\rule_based_samples.csv","A6E410A64F83C313347283BBD88F003621A9D70C3D54BA53CD6680FFA013238F"
"runs\20260214_141637\run.log","F1589F72403BBAD0E82CA3A8659AA658BDFF58BAADB5743D90B849FF9A4E7468"
"runs\20260214_142537\distribution_metrics.csv","8134179E8183A4C69F5A5592DCE931DA2A9E9B558BB0B4BE8401F1A8267A17FC"
"runs\20260214_142537\distribution_samples.csv","A3934B86C60C0BE9DD0C6C1AB5279CB17BBBC9B4AA5776BFCF0F9B9DE566356D"
"runs\20260214_142537\failure_cases.csv","3D92C2EA878AC18DC7197A43CB4AF366265C06C7363D1E6FBABE52A2714EE5F6"
"runs\20260214_142537\llm_io.jsonl","16D32ADF645AE60E8EF825F8420EB3581601C155B415365AC1059A7F855CBF92"
"runs\20260214_142537\run.log","F7B5804BA47BF3A6366EEB9CDC1539D9EF7FB32CD1D9F516C980462A1A0E16BF"
"runs\20260214_143230\baseline_train_summary.csv","55A5068FB0AAEC0AE6959FBC4641D8BD27367D095C6293FBA403D5217F21593C"
"runs\20260214_143230\failure_cases.csv","202863917F385F813CA40F46F57A700E1A3B6D4F2D72FBD202A9182D2D8B4DD2"
"runs\20260214_143230\llm_io.jsonl","1F159F2949B2C94F6F103425A46FE8D67D9721DA9CD330052221EBA80AC5DED2"
"runs\20260214_143230\property_metrics.csv","8A567E4E386C848B85FE69578E0C89083BEC9D83E6826FC52B46099A6C7522EB"
"runs\20260214_143230\property_samples.csv","993CCC00E08CC9C899B2B67F017BCA6B58AED6A7EAB6D9EAF2955392E484140C"
"runs\20260214_143230\run.log","B25CE148C2562893505E3F126B5FC6E65D8249D450A25A10704987CD3389A599"
"runs\stage0\codex总结.md","BBA444C503DD664458325EA74F24585B75403D420968C1C495DB30C853D7BE7F"
"runs\stage0\验收报告.md","5796E256EC87996B92DBD4CF406115E5817448F014C35A4949C7BDAF1D6073E5"
"runs\stage0\关键输出\make_check输出.txt","29601B71075D91D3EF77C093A88311F8F66A23BD33495AE5013E1BFB968193E7"
"runs\stage0\关键输出\make_stage0_summary输出.txt","34E48A799CB7DD28D00D6213E411D32B1B025304A4F6D926B30275590FBB41D5"
"runs\stage0\关键输出\pip_install验证.txt","37CD8F8369C8ED4C6DDD64419AE2C4AE2E53AFB9BDCB55BEF3EA1AF998A786BC"
"runs\stage0\关键输出\pytest输出.txt","447A5F388FAFF0A06872FB6630D5A4899B0143F32F7F54149F75BA4F2175AFDD"
"runs\stage0\关键输出\smoke输出.txt","3A54EF88FEC1DB1EA2234640DF741F4A8573824DF75C45038A952D41195BA591"
"runs\stage0\关键输出\stage0_summary输出.txt","2878ABEC56286FB46F06468E244A152B6D17A6CA0DBF15CE9AB3CFBA7E4DBBA7"
"runs\stage0\关键输出\关键文件清单.csv","73AA8508A9266BADE26085EDFB12E73E16EECA404CAE35F302AE528EBA91B76E"
"runs\stage0\关键输出\目录结构.txt","2878ABEC56286FB46F06468E244A152B6D17A6CA0DBF15CE9AB3CFBA7E4DBBA7"
"runs\stage1\codex总结.md","02A1C350B6212D06A5207D0C18644798DCD399FE3A5819741CBDFBA7049FF126"
"runs\stage1\验收报告.md","9B4E55F18EF630A76586C762B0BEDC935287ED082A24A46E875DF3D64404EF5B"
"runs\stage1\关键输出\llm_io失败样例.jsonl","339934147D3653262E756C7170941EF8424A00F1AA7CC51DDB96EB79AEF689F7"
"runs\stage1\关键输出\llm_io成功样例.jsonl","6E07422309DE03F887EFBAC50A75D8EE002149A47D984F370AC14DD5CD7B6980"
"runs\stage1\关键输出\parser失败样例.json","BBF38B57FDDF43A137A670A31BBC4B050D13FC0163431E8E48CBC91824958253"
"runs\stage1\关键输出\parser成功样例.json","74543CC2C099AD19BD9A1B98ADBB382B6176CA85E7A2376581C6196C05CB875D"
"runs\stage1\关键输出\pytest输出.txt","39C242F53FAF0A600CDE340958FDFDA28AE45F1F24266E3640EBA4DE01A13EF4"
"runs\stage1\关键输出\run失败样例.log","1F9DA23D526089CDB30D948394060E4E1921309886D238458CD1A1729DDD00C5"
"runs\stage1\关键输出\run成功样例.log","4363764BA19A773D56362CDF6DF8B2357756022DB36B1EA17B2CAF6951ACA20E"
"runs\stage1\关键输出\stage1_smoke失败控制台输出.txt","E4FE715B3E850D6B40FB0710E0E1E23AB96A2C1346F2FD24B8DF398F2245DB74"
"runs\stage1\关键输出\stage1_smoke成功控制台输出.txt","F4B6D6CF4819E3670A09C14F4E98DE1D208BCCB0B8DFA0E95105298E7360B918"
"runs\stage1\关键输出\stage1_smoke退出码.txt","82411B826EDD9B6F1E9816B523F963270A72620A442F58FB9CA3D4EC947E35E2"
"runs\stage1\关键输出\关键文件清单.csv","4F0B66E70B20807A8DD6761718E48039D11E19F80CA405C70CC61C98FFB3BF97"
"runs\stage2\codex总结.md","ACB5ACAF78BC6E2C6D2898F6CA169D970A1AE20B58918960935D155666B44323"
"runs\stage2\验收报告.md","1D77A0E8F589C5F1A5209C447D8D52E53022CBAF8963DAE33A0CBBFFE799074A"
"runs\stage2\关键输出\failure_cases.csv","A23465C1E25FFF3ECA757588848130332751697A93F809B09908FF890E443013"
"runs\stage2\关键输出\llm_io.jsonl","0C955C7622F30941C87B6904CD56C164EB7A489B27B688AA9FE35844BE16BD70"
"runs\stage2\关键输出\pytest输出.txt","AF25DE3865B8874CFD6E0565671BDE5A15EB50140D91C4E9B1BE87DE23A4335D"
"runs\stage2\关键输出\rule_based_metrics.csv","CBF68612E64EDB06A78FA8DE279B01FFA98A3B70EC316F9BF92027A5E9357BD9"
"runs\stage2\关键输出\rule_based_samples.csv","A6E410A64F83C313347283BBD88F003621A9D70C3D54BA53CD6680FFA013238F"
"runs\stage2\关键输出\run.log","F1589F72403BBAD0E82CA3A8659AA658BDFF58BAADB5743D90B849FF9A4E7468"
"runs\stage2\关键输出\stage2控制台输出.txt","4B316EED6004D07314A85C5C88391E27F53E353E9C33188BC71A59CCE0E07359"
"runs\stage2\关键输出\关键文件清单.csv","59818E557BF2B9EAA09201EE5D7FA3360F2FF61CE19AE1CBA849AF2E7F63C04D"
"runs\stage3\codex总结.md","844ADB33C348493B60E53CABB141F9CE7C2CA53FF24C98C94CB4909F71D21E3C"
"runs\stage3\验收报告.md","2531FD00ECF529CFAA1C1ADBDA5C9C2B4244BE9DC01B52D8700D11C076F4738C"
"runs\stage3\关键输出\distribution_metrics.csv","8134179E8183A4C69F5A5592DCE931DA2A9E9B558BB0B4BE8401F1A8267A17FC"
"runs\stage3\关键输出\distribution_samples.csv","A3934B86C60C0BE9DD0C6C1AB5279CB17BBBC9B4AA5776BFCF0F9B9DE566356D"
"runs\stage3\关键输出\failure_cases.csv","3D92C2EA878AC18DC7197A43CB4AF366265C06C7363D1E6FBABE52A2714EE5F6"
"runs\stage3\关键输出\llm_io.jsonl","16D32ADF645AE60E8EF825F8420EB3581601C155B415365AC1059A7F855CBF92"
"runs\stage3\关键输出\pytest输出.txt","B2C324AE3EDB40A30FA613941290E06D78F9AA754555857E115642506BB9FEB3"
"runs\stage3\关键输出\run.log","F7B5804BA47BF3A6366EEB9CDC1539D9EF7FB32CD1D9F516C980462A1A0E16BF"
"runs\stage3\关键输出\stage3控制台输出.txt","2E4F61416DCA7E313CF002DCD3D6C5720C7ED092B1D5C75408D36FE98B92FA97"
"runs\stage3\关键输出\关键文件清单.csv","591893C1E5F7C810D18C4D9911A0894434F2D642997828A596DD9FF06C72F8E1"
"runs\stage4\codex总结.md","D1B72AFAE16D16179272F507196537BABAF30147C5787FDE90B814890769DBA1"
"runs\stage4\quant_summary.json","6DF14849B992D34A36DF62965ECE233F3B46678C9742D955A7E6D86A262A3632"
"runs\stage4\复现量化对比报告.md","0B905A384A1FD6CFE92B3BC338ED1B6C52676C6184C6E832FAA809EF6D61C1F1"
"runs\stage4\总报告.md","C3EE3C97142F1DDCBB142E52FD6B40C961C7F76E37FA4D8F1527C0D7CB92D6F3"
"runs\stage4\论文代码与论文本体比对.md","FC08C0424771C972C30A42A13A662A7821216DE6E3131C2D42E4244CFD16E5F2"
"runs\stage4\验收报告.md","4D7412266182D0D9D5F2A324C1FFC0AC213F8CEFC11836D6B40E583E640E2F62"
"runs\stage4\关键输出\baseline_train_summary.csv","55A5068FB0AAEC0AE6959FBC4641D8BD27367D095C6293FBA403D5217F21593C"
"runs\stage4\关键输出\failure_cases.csv","202863917F385F813CA40F46F57A700E1A3B6D4F2D72FBD202A9182D2D8B4DD2"
"runs\stage4\关键输出\llm_io.jsonl","1F159F2949B2C94F6F103425A46FE8D67D9721DA9CD330052221EBA80AC5DED2"
"runs\stage4\关键输出\property_metrics.csv","8A567E4E386C848B85FE69578E0C89083BEC9D83E6826FC52B46099A6C7522EB"
"runs\stage4\关键输出\property_samples.csv","993CCC00E08CC9C899B2B67F017BCA6B58AED6A7EAB6D9EAF2955392E484140C"
"runs\stage4\关键输出\pytest输出.txt","E4359BD9AE497900AD7FCF7AD0C09BA31C1F906BF31418C639E07040EE6D5DE0"
"runs\stage4\关键输出\quant_summary.json","6DF14849B992D34A36DF62965ECE233F3B46678C9742D955A7E6D86A262A3632"
"runs\stage4\关键输出\run.log","B25CE148C2562893505E3F126B5FC6E65D8249D450A25A10704987CD3389A599"
"runs\stage4\关键输出\stage4控制台输出.txt","839E7F38E34B63C57545523F963C4036C7C0544A1652E7D8FB0E26F2A667AADC"
"runs\stage4\关键输出\关键文件清单.csv","723D055140C11AC330331BD5121DE735FF08E5594C6069E386BF04FCDA7BC0F1"
"runs\stage4\关键输出\分发文件清单.csv","6013510469926AF361129AADB0CA319EA2777B94906279011D6D75027E95C160"
"runs\stage4\关键输出\复现量化对比报告.md","0B905A384A1FD6CFE92B3BC338ED1B6C52676C6184C6E832FAA809EF6D61C1F1"
"runs\stage4\关键输出\论文代码与论文本体比对.md","FC08C0424771C972C30A42A13A662A7821216DE6E3131C2D42E4244CFD16E5F2"
"src\llm4graphgen\smoke.py","5EFDA49399FD392CE2038463A92712A7FE2193F391BB04342F3B3D899F00A291"
"src\llm4graphgen\stage1_smoke.py","5FDAC626BF025F6D32255092036E721BEA5F216E8B064FDF5729E4C44BE5DFB4"
"src\llm4graphgen\stage2_rule_based.py","D1BD99E6CAEAA1092A8D6D09C742E6945C5CEA532628843B1C26599C01DD9760"
"src\llm4graphgen\stage3_distribution.py","842553917273EF1347E5A517ED3656CD10143520F8B4F371398CDF30C5947CE3"
"src\llm4graphgen\stage4_property.py","B2BFD9B4FC6187B9BE0DBB360FD289EE24DC418C99D5660E367BF48C84A4E3B2"
"src\llm4graphgen\__init__.py","2D9237FA01B72F580E664517EF193B55AD9862A551FB65AD34C2BFE2413E129F"
"src\llm4graphgen\parsers\graph_parser.py","2310127672B8F1D89018CE0F75233E8F477C9754341110E38D876B30EA0FDC11"
"src\llm4graphgen\parsers\__init__.py","EDCEA6BE4F2BD9E6D04191309D70617D873963D44D33EEF353E1AF541EEEC646"
"src\llm4graphgen\providers\base.py","4D24116C15E6941B0623C5D7FAECD546762BA799355B116483A6A04B7E937656"
"src\llm4graphgen\providers\mock_provider.py","4105366162C815ADB04865ED110D74AFFE6FB210C80F660B2C580ACCC9C07FDD"
"src\llm4graphgen\providers\openai_provider.py","286AD6953FD49B46B212E9B95EA8F6471627196DB8CACB6670E433687AC48B6C"
"src\llm4graphgen\providers\__init__.py","59FA0E69DC5391AE73F1C36B7EB99CA7C8B99345BA7F3B17ADD499095E1D2E36"
"tests\test_smoke.py","7AFFDA7B0FE712681F1286CE27AC85EAED6C5ADB96F99346587A78498F21C2B1"
"tests\test_stage1_smoke.py","E358E52214E0CAEB539553B4663AFAA5B0EB51227B04F848325DB00A6EE43B33"
"tests\test_stage2_rule_based.py","893603BADD9FBF9E79889357D2C514D95B75AE242458689B71BED307713EC239"
"tests\test_stage3_distribution.py","C378E64215E3AE4C0851D6640D30011B3A2EC1E3E7ED234F20CD9F5095FC4872"
"tests\test_stage4_property.py","546C4F489ED0E09B28FB3B3D2A0C3F65C5B7A196981C7664A548A065074D4FC4"
